,SITE_ID,IGBP,LOCATION_LAT,LOCATION_LONG,SITE_NAME,COUNTRY,MAP,LOCATION_ELEV,SITE_SNOW_COVER_DAYS,SITE_DESC,FLUX_MEASUREMENTS_DATE_START,FLUX_MEASUREMENTS_DATE_END
0,AR-SLu,MF,-33.4648,-66.4598,San Luis,Argentina,400,,,,,
1,AR-Vir,ENF,-28.2395,-56.1886,Virasoro,Argentina,,,,,,
2,AT-Neu,GRA,47.11667,11.3175,Neustift,Austria,852,970,100,Managed grassland which is harvested 3-4 times per year,2010-01-01 00:00:00,2008-01-01 00:00:00
3,AU-Ade,WSA,-13.0769,131.1178,Adelaide River,Australia,,,,,,
4,AU-ASM,SAV,-22.2830,133.2490,Alice Springs,Australia,,,,,,
5,AU-Cpr,SAV,-34.0021,140.5891,Calperum,Australia,,,,,,
6,AU-Cum,EBF,-33.61518,150.72362,Cumberland Plain,Australia,,,,,,
7,AU-DaP,GRA,-14.0633,131.3181,Daly River Savanna,Australia,,,,,,
8,AU-DaS,SAV,-14.1593,131.3881,Daly River Cleared,Australia,,,,,,
9,AU-Dry,SAV,-15.2588,132.3706,Dry River,Australia,,,,,,
10,AU-Emr,GRA,-23.8587,148.4746,Emerald,Australia,,,,,,
12,AU-Gin,WSA,-31.3764,115.7138,Gingin,Australia,,,,,,
13,AU-GWW,SAV,-30.1913,120.6541,"Great Western Woodlands, Western Australia, Australia",Australia,,,,,,
14,AU-How,WSA,-12.4943,131.1523,Howard Springs,Australia,,,,,,
15,AU-Lox,DBF,-34.4704,140.6551,Loxton,Australia,,,,,,
16,AU-RDF,WSA,-14.5636,132.4776,"Red Dirt Melon Farm, Northern Territory",Australia,,,,,,
17,AU-Rig,GRA,-36.6499,145.5759,Riggs Creek,Australia,,,,,,
18,AU-Rob,EBF,-17.1175,145.6301,"Robson Creek, Queensland, Australia",Australia,,,,,,
19,AU-Stp,GRA,-17.1507,133.3502,Sturt Plains,Australia,,,,,,
20,AU-TTE,GRA,-22.2870,133.6400,Ti Tree East,Australia,,,,,,
21,AU-Tum,EBF,-35.6566,148.1517,Tumbarumba,Australia,,1200,,,,
22,AU-Wac,EBF,-37.4259,145.1878,Wallaby Creek,Australia,,,,,,
23,AU-Whr,EBF,-36.6732,145.0294,Whroo,Australia,,,,,,
24,AU-Wom,EBF,-37.4222,144.0944,Wombat,Australia,,705,,,,
25,AU-Ync,GRA,-34.9893,146.2907,Jaxa,Australia,,,,,,
26,BE-Bra,MF,51.30761,4.51984,Brasschaat,Belgium,750,16,,,,
28,BE-Vie,MF,50.30493,5.99812,Vielsalm,Belgium,1062,493,30,"1882, the stand was sparsely planted with Scots pine.
1908, beeches were planted in the undercover, four 100m² circular plots of silver fir were planted.
1935, Douglas fir were planted
1950,1960,1961, plantation of Douglas fir to fill the gaps.
The initial Scots pine stand was removed by successive thinings.",1996-08-01 01:00:00,2009-01-01 00:00:00
29,BR-Sa1,EBF,-2.85667,-54.9588900,Santarem-Km67-Primary Forest,Brazil,2074.79,88,,"The LBA Tapajos KM67 Mature Forest site is located in the Tapajos National Forest, a 450,000 ha closed-canopy upland forest in Amazonian Brazil. Bounded by the Tapajos River in the west and highway BR-163 to the east, the tower is located on a flat plateau (or planalto) that extends up to 150 km to the north, south, and east. Within the confines of the National Forest, anthropogenic disturbances are limited to a few small hunting trails. The surrounding stand is classified as primary or ""old-growth"""" predominantly by its uneven age distribution,  emergent trees,  numerous epiphytes and abundant large logs. In 2007 falling trees hit the tower guy wires rendering all instrumentation in-operational. After a complete restoration tower measurements resumed in August of 2008.",2002-01-01 00:00:00,
30,BR-Sa3,EBF,-3.01803,-54.9714400,Santarem-Km83-Logged Forest,Brazil,2043.77,100,,Cleared forest. Logged site is near km 83 along BR-183.,2000-01-01 00:00:00,2003-01-01 00:00:00
