,SITE_ID,p25,p75
0,CN-Cha,-1.136598476508329,1.4964546373916718
0,AU-ASM,-0.0958567205577339,0.05725984623987895
0,US-Goo,-0.6012531343916638,0.76111976616139
0,IT-Tor,-1.1297445189958315,1.0462954507249282
0,FR-LBr,-0.928754341599996,1.0861198802666756
0,ES-Amo,-0.0134648692,0.0
0,AU-Wom,-1.143496189133333,1.142376811866674
0,US-IB2,-1.9203481502666695,1.010521144133329
0,CN-Dan,-0.2106206007063493,0.3540369041428568
0,AU-Cpr,-0.24011788941120094,0.29156532679374814
0,IT-SRo,-0.9756992751944629,0.925326041648583
0,AU-Ync,-0.1234543285333333,0.0774035755769829
0,NL-Loo,-1.227846118169864,1.0115691059748142
0,ES-LJu,-0.1007462679006895,0.1326186993714273
0,AU-Stp,-0.08384005249625218,0.05045265450329275
0,US-Whs,-0.0227515328546519,0.021410142508563
0,IT-CA1,-1.0935568899312442,0.6381361510514318
0,IT-Ro1,-1.1859672494970774,0.946537882304828
0,AU-TTE,-0.0093159297145283,0.0
0,AU-Dry,-0.4845164197333358,0.3190941471999995
0,DK-Sor,-1.3451343361999994,1.2670806946000015
0,AU-GWW,-0.4290095651333327,0.2165717049000004
0,US-LWW,-0.7774316608666674,0.30153696766667
0,IT-Noe,-0.5626075282385732,0.5943673263632363
0,US-ARc,-0.5780971888,1.0969048475333345
0,CA-TPD,-1.6799461160999938,1.5023086194750024
0,CH-Oe1,-2.2947690851511293,2.7333728618533293
0,US-ARb,-0.5105039485555555,0.5667032831666621
0,RU-Fyo,-2.010809065333333,1.921237979066658
0,PA-SPs,-0.7837083850666702,1.2180774657904698
0,US-AR1,-0.49501199048440936,0.47729710603273834
0,RU-Ha1,-0.9760038567999992,0.2497336012000033
0,CH-Dav,-1.5416849899000002,0.8776280006666664
0,CN-Cng,-0.33918991642833407,0.5585944994333342
0,CA-TP4,-1.5874666538428492,1.3988932909050202
0,US-AR2,-0.5566801765333402,0.5005042832666645
0,IT-Isp,-1.1434780683166625,0.9700555205666705
0,AU-Emr,-0.4250960822568754,0.21643137751444394
0,US-UMd,-1.5929855903662054,1.2315300530431461
0,US-KS1,-0.06218683938333485,0.978167180324999
0,US-Sta,-0.1696616399783337,0.3183378891749997
0,DE-Obe,-1.6793051962976193,2.231351404563336
0,BE-Vie,-1.5890473822098792,1.8563971560719041
0,CH-Lae,-1.9772407521999993,1.553022300466667
0,US-KS2,-0.7368846788568333,0.8230277826869559
0,GF-Guy,-1.511569187907197,1.339519081965367
0,CN-Qia,-1.057768296766667,0.6964220679999982
0,IT-Lav,-1.6667126596000155,1.6419819479999909
0,CH-Cha,-2.558416278974991,3.931971059438337
0,CN-Din,-1.0462677754833338,0.6493065233040668
0,US-Oho,-1.4079198289333348,1.2480845009999997
0,SN-Dhr,-0.4234712045112453,0.9079951828058823
0,AU-Whr,-0.5654249847831012,0.5224620830651423
0,US-SRC,-0.09064877741666666,0.15211674749999993
0,CA-NS7,-0.7549079415999996,1.0045592674666608
0,CA-Oas,-1.93017131973334,1.4530897733333177
0,CA-SF1,-0.9938806898666654,1.5804400096666642
0,US-Ton,-0.6011667412285575,0.38871815311114155
0,CA-NS6,-0.7795075091111103,0.9149677561587302
0,CN-Du3,0.0,0.0
0,US-Var,-0.06934666421266572,0.0461635156228025
0,AU-How,-0.7043599766815296,0.5958157683623266
0,CA-NS4,-0.5863794543083337,0.8861452060250026
0,JP-SMF,-0.9885292614333319,0.9520155705166626
0,CA-SF3,-0.455690067616666,0.692115447916666
0,US-Wkg,-0.12559473743492033,0.11010158653333295
0,AU-Gin,-0.4685797010728001,0.560945047940177
0,AU-RDF,-0.10855620046666628,0.10014755159999997
0,CA-SF2,-1.7323309321125149,1.002100033412464
0,DE-Hai,-2.0300369246615375,1.2973805862113568
0,CA-NS1,-0.6330574676999969,0.9762630197333362
0,DE-Tha,-1.753493441066666,1.2651054665333428
0,CN-Sw2,-0.43239968399999995,0.0
0,AU-Rig,-0.43163797980647095,0.4448160304189943
0,CA-NS3,0.0754313169666627,1.3480610745999986
0,US-SRG,-0.2376477466926314,0.16562538326546444
